Nama Barang;Satuan;Harga
Cartridge Pita Printer LX 300 (SO15516) - Epson;Pcs;50000
Cartridge Pita Printer LX 310 (SO15632) - Epson;Pcs;50000
CD RW + Casing Merk Verbatim;Pcs;16000
CD-R Merk Verbatim @ 50 (pak);Pak;165000
CD-R Merk Verbatim @ 50 (tabung);Tabung;192500
Clear Holder A4 20 Lbr Inter X;Pcs;13500
Clear Holder A4 40 Lbr Inter X;Pcs;20500
Clear Holder A4 60 Lbr Inter X;Pcs;27500
Clear Holder A5 20 Lbr Inter X;Pcs;8500
Clear Holder F4 100 Lbr Felix;Pcs;56000
Clear Holder F4 100 Lbr Inter X;Pcs;56000
Clear Holder F4 20 Lbr Felix;Pcs;14500
Clear Holder F4 20 Lbr Inter X;Pcs;14500
Clear Holder F4 40 Lbr Daichi;Pcs;22000
Clear Holder F4 40 Lbr Felix;Pcs;20500
Clear Holder F4 40 Lbr Inter X;Pcs;20500
Clear Holder F4 60 Lbr Felix;Pcs;27500
Clear Holder F4 60 Lbr Inter X;Pcs;27500
Clip Board Bantex 4211;Pcs;31500
Clip Board Bantex 4240;Pcs;32000
Clip Board Bantex 8815;Pcs;16000
Colokan + Kabel 1,5 Mtr 3 Lubang (1 Switch) ET 726K - Deli;Pcs;69000
Colokan + Kabel 1,5 Mtr 4 Lubang (1 Switch) ET 727K - Deli;Pcs;80000
Colokan 3 Lubang (1 Switch) Uticon;Pcs;75000
Colokan 4 Lubang (1 Switch) Uticon;Pcs;80000
Colokan T Merk Broco;Pcs;25000
"Computer Binder 3400 A3 14 7/8 x 11 """;Pcs;59500
Computer Binder 3401 A4 Bambi;Pcs;45000
Computer Binder SC-1301 A3 - Joyko;Pcs;55000
Computer Binder SC-1301-09  A4 - Joyko;Pcs;35000
Container Berlubang HNT2002 - Hanata;Pcs;80000
Container Box Shinpo CB 25 SIP 133-3;Pcs;65000
Container Box Shinpo CB 30 SIP110GS;Pcs;53000
Container Box Shinpo CB 60 SIP113;Pcs;125000
Container Box Shinpo CB 82 SIP 146;Pcs;153000
Container Box Shinpo CB130 SIP116;Pcs;197000
Container Box Shinpo CB150 SIP119;Pcs;250000
Container Box Shinpo CB70 SIP143;Pcs;120000
"Continous Form 9 1/2 x 12"" 6 Ply Warna";Dus;383000
"Continuous Form 9 1/2 x 12""  3 Ply (Warna)";Dus;340000
"Continuous Form 9 1/2 x 12"" (A4) 4 Ply (Warna)";Dus;244000
"Continuous Form 9 1/2 x 13"" 1Ply /2";Dus;178000
"Continuous Form 9 1/2 x 13"" 2 Ply (Warna)";Dus;239500
"Continuous Form 9 1/2 x 13"" 2/2 Ply (Warna)";Dus;239500
"Continuous Form 9 1/2 x 13"" 3 Ply (Warna)";Dus;358000
"Continuous Form 9 1/2 x 13"" 3/2 Ply (Warna)";Dus;358000
"Continuous Form 9 1/2 x 13"" 4 Ply (Warna)";Dus;257000
"Continuous Form 9 1/2 x 13"" 4/2 Ply (Warna)";Dus;257000
"Continuous Form 9 1/2 x 13"" 5 Ply (Warna)";Dus;315000
"Continuous Form 9 1/2 x 13"" 5/2 Ply (Warna)";Box;315000
"Continuous Form 9 1/2 x 13"" 6 Ply (Warna)";Dus;406500
"Continuous Form 9 1/2 x 13"" 6/2 Ply (Warna)";Dus;406500
Continuous Form B 1 Ply - Paperline;Dus;321000
Continuous Form B 2 Ply (Warna) - Paperline;Dus;486000
Continuous Form K 1 Ply - Paperline;Dus;205000
Continuous Form K 1 Ply Merk Go-Print;Dus;108000
Continuous Form K 1 Ply Merk Neuro;Dus;115000
Continuous Form K 1/2 Ply - Paperline;Dus;211000
Continuous Form K 1/2 Ply Merk Go-Print;Dus;108000
Continuous Form K 1/2 Ply Merk Neuro;Dus;115000
Continuous Form K 2 Ply (Putih-Putih) - Paperline;Dus;302000
Continuous Form K 2 Ply (Putih-Putih) Merk Neuro;Dus;175000
Continuous Form K 2 Ply (Warna) - Paperline;Dus;302000
Continuous Form K 2 Ply (Warna) Merk Go-Print;Dus;150000
Continuous Form K 2 Ply (Warna) Merk Neuro;Dus;163000
Continuous Form K 2 Wartel Merk Neuro;Dus;180000
Continuous Form K 2/2 Ply (Warna) - Paperline;Dus;309000
Continuous Form K 2/2 Ply (Warna) Merk Go-Print;Dus;150000
Continuous Form K 2/2 Ply (Warna) Merk Neuro;Dus;163000
Continuous Form K 3 Ply (Putih-Putih) Merk Neuro;Dus;245000
Continuous Form K 3 Ply (Warna) - Paperline;Dus;453000
Continuous Form K 3 Ply (Warna) Merk Go-Print;Dus;223000
Continuous Form K 3 Ply (Warna) Merk Neuro;Dus;245000
Continuous Form K 3/2 Ply (Warna) - Paperline;Dus;467000
Continuous Form K 3/2 Ply (Warna) Merk Go-Print;Dus;223000
Continuous Form K 3/2 Ply (Warna) Merk Neuro;Dus;245000
Continuous Form K 4 Ply (Warna) - Paperline;Dus;321000
Continuous Form K 4 Ply (Warna) Merk Go-Print;Dus;156000
Continuous Form K 4 Ply (Warna) Merk Neuro;Dus;175000
Continuous Form K 4/2 Ply (Putih-Putih) Merk Neuro;Dus;171000
Continuous Form K 4/2 Ply (Warna) - Paperline;Dus;335000
Continuous Form K 4/2 Ply (Warna) Merk Go-Print;Dus;156000
Continuous Form K 4/2 Ply (Warna) Merk Neuro;Dus;175000
Continuous Form K 5 Ply (Putih-Putih) Merk Neuro;Dus;232000
Continuous Form K 5 Ply (Warna) - Paperline;Dus;422000
